time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
4.075,3.37632,-3.18561,2.5262,3.3546,-3.17482,2.54051,3.34927,-3.1712,2.54083,3.35372,-3.17415,2.54017,0.0242528,0.0143109,0.0306458,0.0146321,0.0253431,0.0139679
4.08,3.37179,-3.18417,2.5217,3.35136,-3.17259,2.54051,3.3459,-3.16889,2.54083,3.35041,-3.17188,2.54017,0.0234896,0.0188109,0.030065,0.0191321,0.0246679,0.0184679
4.182,3.36862,-3.18186,2.522,3.34966,-3.17143,2.54051,3.34413,-3.16768,2.54083,3.34867,-3.17069,2.54017,0.0216399,0.0185109,0.0282938,0.0188321,0.0228578,0.0181679
4.202,3.3685,-3.18143,2.5233,3.34838,-3.17055,2.54051,3.34281,-3.16677,2.54083,3.34737,-3.1698,2.54017,0.0228692,0.0172109,0.0295824,0.0175321,0.0241169,0.0168679
4.232,3.3668,-3.17919,2.5274,3.34711,-3.16968,2.54051,3.34148,-3.16586,2.54083,3.34608,-3.16891,2.54017,0.0218624,0.0131109,0.0286103,0.0134321,0.0231318,0.0127679
4.263,3.36601,-3.1788,2.5268,3.34483,-3.16812,2.54051,3.3391,-3.16423,2.54083,3.34375,-3.16731,2.54017,0.02372,0.0137109,0.0305941,0.0140321,0.0250486,0.0133679
4.313,3.36186,-3.17711,2.5232,3.34255,-3.16655,2.54051,3.33673,-3.1626,2.54083,3.34142,-3.16572,2.54017,0.0220107,0.0173109,0.0290215,0.0176321,0.0234014,0.0169679
4.344,3.3599,-3.1757,2.5231,3.34186,-3.16608,2.54051,3.33601,-3.16211,2.54083,3.34072,-3.16523,2.54017,0.0204449,0.0174109,0.027486,0.0177321,0.0218505,0.0170679
4.364,3.35956,-3.17531,2.5234,3.34069,-3.16528,2.54051,3.33479,-3.16128,2.54083,3.33953,-3.16442,2.54017,0.0213666,0.0171109,0.0284668,0.0174321,0.0228004,0.0167679
4.374,3.3576,-3.17302,2.5272,3.33895,-3.16408,2.54051,3.33297,-3.16003,2.54083,3.33775,-3.16319,2.54017,0.0206815,0.0133109,0.0278434,0.0136321,0.0221479,0.0129679
4.415,3.35702,-3.17259,2.5277,3.33662,-3.16248,2.54051,3.33054,-3.15836,2.54083,3.33537,-3.16156,2.54017,0.0227719,0.0128109,0.0300642,0.0131321,0.0242982,0.0124679
